rpm,iteration,pressure_residual,p_start_pa,p_end_pa
2200.0,1,1.2615052941803311e-07,101325.0,101325.0127822024
2300.0,1,1.2237897573386832e-07,101325.0,101325.01240004972
2400.0,1,1.075045148091326e-07,101325.0,101325.01089289496
2500.0,1,1.055646536719213e-07,101325.0,101325.01069633853
2600.0,1,9.478063623278657e-08,101325.0,101325.00960364797
2700.0,1,9.37551314223998e-08,101325.0,101325.00949973869
2800.0,1,8.115847730035292e-08,101325.0,101325.00822338271
2900.0,1,8.344683314650853e-08,101325.0,101325.00845525037
3000.0,1,7.757327372638856e-08,101325.0,101325.00786011196
3100.0,1,6.748558636299775e-08,101325.0,101325.00683797704
3200.0,1,6.751931736499895e-08,101325.0,101325.00684139483
3300.0,1,1.7508335320553367e-08,101325.0,101325.00177403208
3400.0,1,6.064690012198016e-08,101325.0,101325.00614504715
3500.0,1,7.766916752475101e-05,101325.0,101317.13017160055
3600.0,1,0.00033418040001655054,101325.0,101291.13917096832
3600.0,2,1.1938109955903183e-05,101291.13917096832,101289.92994621134
3700.0,1,0.0006810186828883059,101325.0,101255.99578195634
3700.0,2,3.7483050885047336e-05,101255.99578195634,101252.20039831403
3800.0,1,0.0011214674792777886,101325.0,101211.36730766218
3800.0,2,8.360502115952446e-05,101211.36730766218,101202.90552915684
3900.0,1,0.0016959569733048167,101325.0,101153.15715967989
3900.0,2,0.0001622567928672688,101153.15715967989,101136.74437281076
3900.0,3,1.7028905542338526e-05,101136.74437281076,101135.02212474398
4000.0,1,0.0022861117485373185,101325.0,101093.35972707946
4000.0,2,0.00026256298002375115,101093.35972707946,101066.8163532889
4000.0,3,3.3121938685459525e-05,101066.8163532889,101063.46882439451
4100.0,1,0.0030351014514423836,101325.0,101017.4683454326
4100.0,2,0.0004130736756583297,101017.4683454326,100975.74068847745
4100.0,3,6.183854087669387e-05,100975.74068847745,100969.49649600933
4200.0,1,0.003884775793508205,101325.0,100931.37509272278
4200.0,2,0.0006121336894379304,100931.37509272278,100869.59159770723
4200.0,3,0.00010624576618309533,100869.59159770723,100858.87463066335
4200.0,4,1.8627584714900853e-05,100858.87463066335,100856.99587343192
4300.0,1,0.004748511084779168,101325.0,100843.85711433475
4300.0,2,0.0008435454475028254,100843.85711433475,100758.79073775733
4300.0,3,0.0001652572330653777,100758.79073775733,100742.139618793
4300.0,4,3.275545777002946e-05,100742.139618793,100738.83976389305
4400.0,1,0.005697317148699453,101325.0,100747.71933990803
4400.0,2,0.0011269443808830826,100747.71933990803,100634.18226371113
4400.0,3,0.00024608327796321686,100634.18226371113,100609.41787426453
4400.0,4,5.44543907906899e-05,100609.41787426453,100603.93924970638
4500.0,1,0.0064950194807329425,101325.0,100666.89215111473
4500.0,2,0.0013931709403464522,100666.89215111473,100526.64596231481
4500.0,3,0.0003301399710484265,100526.64596231481,100493.45809832722
4500.0,4,7.93859975188995e-05,100493.45809832722,100485.48032491196
4600.0,1,0.00760003976077201,101325.0,100554.92597123978
4600.0,2,0.0017838255728053476,100554.92597123978,100375.55352282073
4600.0,3,0.00046286038002699256,100375.55352282073,100329.09365597174
4600.0,4,0.00012206493040338033,100329.09365597174,100316.84699213719
4600.0,5,3.232113463306399e-05,100316.84699213719,100313.60463781959
4700.0,1,0.008633288072303003,101325.0,100450.2320860739
4700.0,2,0.002182818452243415,100450.2320860739,100230.96746594428
4700.0,3,0.0006103940240295716,100230.96746594428,100169.78708238037
4700.0,4,0.000173721570694651,100169.78708238037,100152.38542963227
4700.0,5,4.967570378794116e-05,100152.38542963227,100147.41028940001
4800.0,1,0.009894613141025294,101325.0,100322.42832348561
4800.0,2,0.0026983179860631343,100322.42832348561,100051.72651073482
4800.0,3,0.0008140411706604387,100051.72651073482,99970.28028615942
4800.0,4,0.00025031784221071323,99970.28028615942,99945.255941313
4800.0,5,7.739627535649476e-05,99945.255941313,99937.52055076358
4900.0,1,0.011346096936657411,101325.0,100175.35672789319
4900.0,2,0.0033290597224769954,100175.35672789319,99841.8669826256
4900.0,3,0.0010805809213972773,99841.8669826256,99733.97976600748
4900.0,4,0.0003580301544568475,99733.97976600748,99698.27199382726
4900.0,5,0.00011937896384181572,99698.27199382726,99686.37011741982
4900.0,6,3.988699022545497e-05,99686.37011741982,99682.39392814934
5000.0,1,0.01259948380851953,101325.0,100048.35730310176
5000.0,2,0.003917617328498977,100048.35730310176,99656.40612484327
5000.0,3,0.0013473640421486387,99656.40612484327,99522.1326666609
5000.0,4,0.00047357089219603974,99522.1326666609,99475.00188150069
5000.0,5,0.0001676279550953287,99475.00188150069,99458.32709035219
5000.0,6,5.947906524187414e-05,99458.32709035219,99452.41140202634
5100.0,1,0.014149596186316641,101325.0,99891.29216642147
5100.0,2,0.004673022942411154,99891.29216642147,99424.49786638068
5100.0,3,0.001706345502850649,99424.49786638068,99254.8453215732
5100.0,4,0.0006375200286505857,99254.8453215732,99191.56836974008
5100.0,5,0.00024006612332159853,99191.56836974008,99167.75583445537
5100.0,6,9.0659807345148e-05,99167.75583445537,99158.76530481657
5200.0,1,0.0155994443221595,101325.0,99744.38630405719
5200.0,2,0.005423166386661097,99744.38630405719,99203.45590099489
5200.0,3,0.002083435682603189,99203.45590099489,98996.7718811332
5200.0,4,0.000819782609980727,98996.7718811332,98915.61604910082
5200.0,5,0.0003253423706993451,98915.61604910082,98883.43460807622
5200.0,6,0.0001295423706247042,98883.43460807622,98870.62501354158
5200.0,7,5.164698112188195e-05,98870.62501354158,98865.51864423799
5300.0,1,0.0178427398419369,101325.0,99517.08438551574
5300.0,2,0.006603248920696153,99517.08438551574,98859.94830545626
5300.0,3,0.0026976137096874357,98859.94830545626,98593.26235356847
5300.0,4,0.0011299992278434822,98593.26235356847,98481.85204323837
5300.0,5,0.0004778459057520471,98481.85204323837,98434.79289344863
5300.0,6,0.0002028477151906688,98434.79289344863,98414.82562061492
5300.0,7,8.624844142297812e-05,98414.82562061492,98406.33749529223
5400.0,1,0.01924912691995523,101325.0,99374.58221483554
5400.0,2,0.00741403696454873,99374.58221483554,98637.81538895816
5400.0,3,0.003149832167529572,98637.81538895816,98327.12282511118
5400.0,4,0.0013730816601627996,98327.12282511118,98192.11165606344
5400.0,5,0.000604607894337525,98192.11165606344,98132.74393019451
5400.0,6,0.0002673587433564813,98132.74393019451,98106.50728309521
5400.0,7,0.00011844463715877117,98106.50728309521,98094.88709343715
5400.0,8,5.251558895509846e-05,98094.88709343715,98089.73558266796
5500.0,1,0.01972303909351083,101325.0,99326.56306385002
5500.0,2,0.007760658309770344,99326.56306385002,98555.72354682762
5500.0,3,0.0033671813541493838,98555.72354682762,98223.86855215604
5500.0,4,0.0014996342975665527,98223.86855215604,98076.56867003556
5500.0,5,0.0006748712922681767,98076.56867003556,98010.37960939598
5500.0,6,0.0003050701426242967,98010.37960939598,97980.47956890988
5500.0,7,0.00013817832619747618,97980.47956890988,97966.94079024302
5500.0,8,6.264219796268973e-05,97966.94079024302,97960.80392574424
5600.0,1,0.020182171547044055,101325.0,99280.04146799576
5600.0,2,0.00810480902650918,99280.04146799576,98475.39569175374
5600.0,3,0.0035876119856001623,98475.39569175374,98122.10418188329
5600.0,4,0.0016307254996890874,98122.10418188329,97962.09396451074
5600.0,5,0.0007492300379285892,97962.09396451074,97888.69782113415
5600.0,6,0.00034585260768416976,97888.69782113415,97854.8427597299
5600.0,7,0.00015998891140193625,97854.8427597299,97839.18706996136
5600.0,8,7.408182068226903e-05,97839.18706996136,97831.93896484915
5700.0,1,0.02118232474348964,101325.0,99178.70094536591
5700.0,2,0.008749031239654372,99178.70094536591,98310.98339248657
5700.0,3,0.003980398254180803,98310.98339248657,97919.66652582432
5700.0,4,0.0018603535991615844,97919.66652582432,97737.5013217743
5700.0,5,0.0008792420206692443,97737.5013217743,97651.56640361698
5700.0,6,0.00041763546374809507,97651.56640361698,97610.78364639627
5700.0,7,0.00019883664017056573,97610.78364639627,97591.37504613161
5700.0,8,9.47700821534375e-05,97591.37504613161,97582.12630350102
5800.0,1,0.022108398720189004,101325.0,99084.86649967685
5800.0,2,0.009367696075697334,99084.86649967685,98156.66958460683
5800.0,3,0.00436898990171746,98156.66958460683,97727.82408640547
5800.0,4,0.0020940808178115805,97727.82408640547,97523.17412461966
5800.0,5,0.0010153524353861978,97523.17412461966,97424.15373226564
5800.0,6,0.0004949277238881407,97424.15373226564,97375.9358176072
5800.0,7,0.00024185821614530984,97375.9358176072,97352.38464747487
5800.0,8,0.00011833363250004966,97352.38464747487,97340.864586167
5800.0,9,5.793120031901073e-05,97340.864586167,97335.22551304143
5900.0,1,0.022897663809540145,101325.0,99004.89421449834
5900.0,2,0.009921997401390974,99004.89421449834,98022.5679113771
5900.0,3,0.004729258309603777,98022.5679113771,97558.99386755352
5900.0,4,0.002317321613048335,97558.99386755352,97332.91830251699
5900.0,5,0.0011490444272111411,97332.91830251699,97221.07845515729
5900.0,6,0.0005729307480801774,97221.07845515729,97165.37750994881
5900.0,7,0.0002864437091048885,97165.37750994881,97137.54509881829
5900.0,8,0.00014340180769188414,97137.54509881829,97123.61539925636
5900.0,9,7.18385449629659e-05,97123.61539925636,97116.63818004454
6000.0,1,0.02379721436985106,101325.0,98913.74725397484
6000.0,2,0.010550298029842475,98913.74725397484,97870.1777411969
6000.0,3,0.005141130901397194,97870.1777411969,97367.01434608639
6000.0,4,0.0025761682772530996,97367.01434608639,97116.18053247716
6000.0,5,0.0013067459036939294,97116.18053247716,96989.27436138394
6000.0,6,0.0006667126672887893,96989.27436138394,96924.61038357606
6000.0,7,0.00034114583705188023,96924.61038357606,96891.54495623583
6000.0,8,0.00017481298032207413,96891.54495623583,96874.60705649402
6000.0,9,8.964557581341129e-05,96874.60705649402,96865.92267656274
6100.0,1,0.025243282807736737,101325.0,98767.22436950608
6100.0,2,0.011513402397053866,98767.22436950608,97630.07757169985
6100.0,3,0.005765270465938068,97630.07757169985,97067.21376888848
6100.0,4,0.0029694217072342827,97067.21376888848,96778.9802772624
6100.0,5,0.001548775899148524,96778.9802772624,96629.0913250648
6100.0,6,0.0008127841570041778,96629.0913250648,96550.55273053008
6100.0,7,0.00042787644581943193,96550.55273053008,96509.24102318584
6100.0,8,0.00022561287838478473,96509.24102318584,96487.46729552787
6100.0,9,0.00011906292662360739,96487.46729552787,96475.97921528916
6100.0,10,6.286111915127704e-05,96475.97921528916,96469.91462726447
6200.0,1,0.027116216282084396,101325.0,98577.4493852178
6200.0,2,0.012758649271664417,98577.4493852178,97319.73428241655
6200.0,3,0.00658122208405663,97319.73428241655,96679.25149794259
