rpm,theta_deg,theta_rad,pressure_pa,pressure_kpa,dpdtheta_pa_per_rad,mdot_engine_kg_s,mdot_restrictor_kg_s,v_demand_m3_s
2200.0,0.0,0.0,101325.0,101.325,0.0,0.0,0.0,0.0
2200.0,0.5727923627684964,0.009997112660588045,101325.0,101.325,-35.62075590927377,0.0006389535775493382,0.0,0.0005610431758654292
2200.0,1.1455847255369929,0.01999422532117609,101324.64389529012,101.32464389529012,-56.764315611838484,0.0012777913084299217,0.0002595714079397917,0.001121988573959297
2200.0,1.7183770883054892,0.029991337981764135,101324.07641603185,101.32407641603184,-83.53202100907646,0.0019163978562841014,0.00041802752973579984,0.0016827384300402968
2200.0,2.2911694510739857,0.03998845064235218,101323.24133700706,101.32324133700706,-110.2604123358702,0.002554656502795946,0.0005768409532464307,0.0022431950069360966
2200.0,2.863961813842482,0.049985563302940225,101322.13905124294,101.32213905124294,-136.95882113719117,0.0031924509512271325,0.0007357279955033008,0.002803260608098993
2200.0,3.4367541766109784,0.05998267596352827,101320.76985847816,101.32076985847816,-163.62483207935145,0.003829664984242934,0.0008946157646447517,0.003362837591186968
2200.0,4.009546539379475,0.06997978862411632,101319.1340825978,101.3191340825978,-190.25372744309652,0.004466182484570421,0.0010534727683171922,0.003921828381678588
2200.0,4.5823389021479715,0.07997690128470436,101317.23209465045,101.31723209465045,-216.84010065124866,0.005101887455369925,0.0012122799911105106,0.004480135486530223
2200.0,5.155131264916468,0.0899740139452924,101315.0643197349,101.3150643197349,-243.378287011288,0.005736664040601568,0.0013710231884037582,0.005037661507884013
2200.0,5.727923627684964,0.09997112660588045,101312.6312395805,101.3126312395805,-269.86251196742654,0.006370396545426938,0.0015296902474691595,0.005594309156835018
2200.0,6.300715990453461,0.1099682392664685,101309.9333936455,101.3099333936455,-296.2869516970871,0.007002969456658258,0.0016882701209612729,0.006149981267265992
2200.0,6.873508353221957,0.11996535192705654,101306.97137960952,101.30697137960952,-322.6457613166086,0.007634267463262324,0.0018467523414761277,0.006704580809758159
2200.0,7.446300715990454,0.1299624645876446,101303.74585358417,101.30374585358418,-348.93308950244926,0.008264175476925574,0.0020051267798458926,0.007258010905586413
2200.0,8.01909307875895,0.13995957724823263,101300.2575301774,101.3002575301774,-375.1430868389068,0.008892578652686218,0.0021633835160322946,0.007810174840807309
2200.0,8.591885441527445,0.14995668990882066,101296.50718247444,101.29650718247444,-401.26991103853794,0.009519362409639385,0.0023215127661895866,0.00836097608044818
2200.0,9.164677804295943,0.15995380256940872,101292.49564196648,101.29249564196648,-427.30773050419447,0.010144412451721176,0.0024795048395539416,0.008910318282805724
