rpm,torque_oem_nm,power_oem_kw,power_restricted_kw,ve_effective_oem,oem_mdot_kg_s,restricted_mdot_kg_s,mass_ratio_restricted_to_oem,fuel_ratio,mean_plenum_pressure_pa,mean_plenum_pressure_kpa,pumping_loss_kw,mass_balance_error,solver_iterations,final_pressure_residual
2200.0,32.713,7.112,6.789885633676075,0.4835342544070741,0.0072267096774193545,0.006885978876543858,0.9528511845521971,1.0030753124386573,100724.01897803541,100.72401897803542,0.007632391850654252,2.6496976108878983e-06,1.0,1.2615052941803311e-07
2300.0,36.67,8.386,7.982847265390466,0.5453624105251986,0.008521258064516129,0.00809704878699679,0.9502175295821853,1.0030753124386573,100558.07074784419,100.5580707478442,0.010182639285202764,2.2853785083716223e-06,1.0,1.2237897573386832e-07
2400.0,40.337,9.766,9.268285992657026,0.6086444367961935,0.009923516129032257,0.009402347648004716,0.9474814698488966,1.0030753124386573,100366.87801658602,100.36687801658603,0.01327422782092279,1.804063726512067e-06,1.0,1.075045148091326e-07
2500.0,41.495,10.509,9.961075302595324,0.62875226406303,0.0106785,0.010106158722742955,0.9464024650225176,1.0030753124386573,100267.98798582415,100.26798798582415,0.01525447103869307,1.716811671065422e-06,1.0,1.055646536719213e-07
2600.0,43.232,11.411,10.799150536761404,0.6564604043807902,0.011595048387096775,0.010957668663927245,0.9450300074746717,1.0030753124386573,100142.3569895274,100.1423569895274,0.01775024034054201,1.478512645723947e-06,1.0,9.478063623278657e-08
2700.0,45.355,12.419,11.732753189921437,0.6879882823011289,0.012619306451612904,0.01190640567934517,0.9435071352771043,1.0030753124386573,99997.12019144054,99.99712019144054,0.020696635530860565,1.3977463850151788e-06,1.0,9.37551314223998e-08
2800.0,47.478,13.587,12.81036529558478,0.7258112954053317,0.013806145161290322,0.013001684452332553,0.9417316926948359,1.0030753124386573,99822.05860822092,99.82205860822091,0.024292784473048324,1.1490595550010593e-06,1.0,8.115847730035292e-08
2900.0,49.215,14.542,13.691325882908538,0.7500398200560916,0.014776548387096775,0.013897388806054628,0.9405030486138529,1.0030753124386573,99680.51875807568,99.68051875807568,0.02752986884247921,1.1447875573594083e-06,1.0,8.344683314650853e-08
3000.0,50.18,15.286,14.379217532072543,0.7621330215741645,0.015532548387096773,0.014597054103488629,0.9397720026170799,1.0030753124386573,99574.49747731804,99.57449747731805,0.030315254332731037,1.048137835297303e-06,1.0,7.757327372638856e-08
3100.0,50.662,16.029,15.065643928703429,0.7733977666352271,0.016287532258064515,0.015295365394609666,0.9390842733119628,1.0030753124386573,99468.12777120309,99.46812777120309,0.03322928030949434,8.992140935153878e-07,1.0,6.748558636299775e-08
3200.0,51.241,16.719,15.703537840953311,0.7814811339439555,0.01698866129032258,0.015944468606588706,0.9385359054554412,1.0030753124386573,99370.75789120654,99.37075789120654,0.03609986399564966,8.908779745827968e-07,1.0,6.751931736499895e-08
3300.0,52.013,17.515,16.436975009638697,0.7938791212917045,0.0177975,0.01669084599213023,0.9378196933350319,1.0030753124386573,99254.02480942475,99.25402480942475,0.03945173039520302,2.2757823442826653e-07,1.0,1.7508335320553367e-08
3400.0,52.689,18.311,17.169813073542606,0.8055478152660565,0.01860633870967742,0.017436763885638914,0.9371410548691025,1.0030753124386573,99136.74436417135,99.13674436417135,0.04294911241602425,7.774489600484415e-07,1.0,6.064690012198016e-08
3500.0,53.461,19.16,17.949879685974633,0.8188147152405184,0.019469032258064515,0.018230869748897247,0.9364034897700478,1.0030753124386573,99009.31912284374,99.00931912284373,0.046786868041579575,0.00098030123265316,1.0,7.766916752475101e-05
3600.0,53.847,19.956,18.67775316551319,0.8291424930510505,0.02027787096774194,0.018972275702699208,0.9356147759732926,1.0030753124386573,98880.78151338546,98.88078151338546,0.0507948574353093,0.00014887567159276399,2.0,1.1938109955903183e-05
3700.0,53.847,20.593,19.26112483988623,0.8324843424972915,0.020925145161290324,0.01956685809864945,0.9350882848280744,1.0030753124386573,98779.58530931623,98.77958530931623,0.05436726560950761,0.0004656610788252992,2.0,3.7483050885047336e-05
3800.0,54.04,21.23,19.842348715310983,0.8356503051305725,0.02157241935483871,0.020159476376823002,0.9345023404758362,1.0030753124386573,98674.19153324584,98.67419153324585,0.05814858702950784,0.0010349029670359733,2.0,8.360502115952446e-05
3900.0,54.233,21.973,20.513079426441248,0.8427192747033041,0.022327403225806453,0.02084363689048044,0.9335450558078763,1.0030753124386573,98536.02977373678,98.53602977373679,0.06278930925952678,0.00020908382858032828,3.0,1.7028905542338526e-05
4000.0,54.812,22.61,21.088035758077982,0.8454710658997706,0.022974677419354838,0.021430456818693076,0.9327859724654569,1.0030753124386573,98418.44906552458,98.41844906552457,0.06711431311328916,0.00040540259736951813,3.0,3.3121938685459525e-05
4100.0,55.101,23.406,21.800247259468254,0.8538892037173292,0.023783516129032258,0.022157407182686422,0.9316287407831652,1.0030753124386573,98261.1806844847,98.2611806844847,0.07251439484017758,0.0007496781082825251,3.0,6.183854087669387e-05
4200.0,55.777,24.255,22.55290684877859,0.8637939682567317,0.024646209677419356,0.022926085743008338,0.9302073642590576,1.0030753124386573,98080.71292662121,98.08071292662122,0.07865852295377365,0.00022331797091139314,4.0,1.8627584714900853e-05
4300.0,55.777,25.051,23.255818720843322,0.8713944507721487,0.025455048387096772,0.023644363207350614,0.9288673448107057,1.0030753124386573,97908.87671155858,97.90887671155858,0.08479675091590752,0.00038937611450658063,4.0,3.275545777002946e-05
4400.0,56.838,25.9,24.000141017684673,0.8804511522176055,0.026317741935483873,0.024405276716247905,0.9273317131870871,1.0030753124386573,97718.16221660379,97.71816221660379,0.09161287394611678,0.0006408761504503359,4.0,5.44543907906899e-05
4500.0,56.742,26.537,24.55744050096021,0.8820587026697022,0.026965016129032255,0.024975725796441296,0.9262269926681348,1.0030753124386573,97574.21967333346,97.57421967333346,0.09743418653423942,0.000932630734284659,4.0,7.93859975188995e-05
4600.0,57.321,27.493,25.381490359491806,0.893969040816199,0.02793643548387097,0.02581903618777467,0.9242065331735405,1.0030753124386573,97338.41139380392,97.33841139380392,0.10586111728372789,0.0003748106367065283,5.0,3.232113463306399e-05
4700.0,57.9,28.342,26.110048231000818,0.9019673445088807,0.028799129032258067,0.026565201768310055,0.9224307352682167,1.0030753124386573,97127.55928036595,97.12755928036596,0.11388319681032108,0.0005711151692826735,5.0,4.967570378794116e-05
4800.0,58.479,29.403,27.011148403070674,0.9162386020437475,0.02987724193548387,0.02748818881800554,0.9200376954928708,1.0030753124386573,96853.03825257803,96.85303825257803,0.12391290476440854,0.0008764173922816222,5.0,7.739627535649476e-05
