rpm,iteration,pressure_residual,p_start_pa,p_end_pa
2400.0,1,0.0006896956340635465,101325.0,101255.11658987851
2400.0,2,4.4043112498570053e-08,101255.11658987851,101255.11213028802
2500.0,1,0.00137279915598076,101325.0,101185.90112552025
2500.0,2,6.18806518354646e-07,101185.90112552025,101185.83851102507
2600.0,1,0.002577703281816372,101325.0,101063.81421496996
2600.0,2,5.725408467530021e-06,101063.81421496996,101063.23558335229
2700.0,1,0.004000000445338039,101325.0,100919.69995487612
2700.0,2,2.459058924065212e-05,100919.69995487612,100917.21827998824
2800.0,1,0.005375127573918533,101325.0,100780.3651985727
2800.0,2,6.343212996726134e-05,100780.3651985727,100773.97248534928
2900.0,1,0.00678850478818643,101325.0,100637.15475233701
2900.0,2,0.00013080675710330626,100637.15475233701,100623.99073247975
2900.0,3,3.2683138569680456e-06,100623.99073247975,100623.6618616965
3000.0,1,0.008309281782916435,101325.0,100483.06202334599
3000.0,2,0.0002390286441493384,100483.06202334599,100459.04369327058
3000.0,3,8.892513143413997e-06,100459.04369327058,100458.15035990416
3100.0,1,0.009444995736205934,101325.0,100367.98580702893
3100.0,2,0.00035516072795283406,100367.98580702893,100332.33904012655
3100.0,3,1.7239882672009372e-05,100332.33904012655,100330.60932237329
3200.0,1,0.01061071447974921,101325.0,100249.86935533941
3200.0,2,0.000504374646387084,100249.86935533941,100199.30586293296
3200.0,3,3.089291819041785e-05,100199.30586293296,100196.2104139742
3300.0,1,0.011800113336292911,101325.0,100129.35351620012
3300.0,2,0.0006895476612511951,100129.35351620012,100060.30955466043
3300.0,3,5.1824465669587286e-05,100060.30955466043,100055.12398258303
3400.0,1,0.013136901796264248,101325.0,99993.90342549352
3400.0,2,0.0009321888662295882,99993.90342549352,99900.69022202944
3400.0,3,8.48977089223544e-05,99900.69022202944,99892.20888230983
3500.0,1,0.01422729636704139,101325.0,99883.41919560953
3500.0,2,0.0011752293362707832,99883.41919560953,99766.03327116382
3500.0,3,0.0001243628099678193,99766.03327116382,99753.62608692687
3500.0,4,1.3357743300390934e-05,99753.62608692687,99752.29360359632
3600.0,1,0.015186041859392185,101325.0,99786.27430859709
3600.0,2,0.0014259194146153684,99786.27430859709,99643.98712274832
3600.0,3,0.00017121136518368673,99643.98712274832,99626.92693968069
3600.0,4,2.0905790999943162e-05,99626.92693968069,99624.84415996812
3700.0,1,0.015870328971865733,101325.0,99716.9389169257
3700.0,2,0.0016472890429979543,99716.9389169257,99552.67629604656
3700.0,3,0.000218314586825022,99552.67629604656,99530.94249465366
3700.0,4,2.947121096711089e-05,99530.94249465366,99528.00919724964
3800.0,1,0.017090280418540993,101325.0,99593.32733659133
3800.0,2,0.0020075767579528594,99593.32733659133,99393.3860873832
3800.0,3,0.00030039759410126866,99393.3860873832,99363.52855333297
3800.0,4,4.5883481716682915e-05,99363.52855333297,99358.96940868729
3900.0,1,0.01803232826505627,101325.0,99497.87433854317
3900.0,2,0.0023369773183579945,99497.87433854317,99265.35006298916
3900.0,3,0.0003849938380147847,99265.35006298916,99227.13351488653
3900.0,4,6.486181694964196e-05,99227.13351488653,99220.69746271605
4000.0,1,0.01868707300093491,101325.0,99431.53232818027
4000.0,2,0.0026169947390720866,99431.53232818027,99171.32053117955
4000.0,3,0.00046505072163290106,99171.32053117955,99125.20083700123
4000.0,4,8.46455623301173e-05,99125.20083700123,99116.8103286353
4100.0,1,0.01891811002343457,101325.0,99408.12250187549
4100.0,2,0.002796158827937377,99408.12250187549,99130.1616025732
4100.0,3,0.0005238082778470542,99130.1616025732,99078.23640334145
4100.0,4,0.00010061981343438426,99078.23640334145,99068.26716967914
4100.0,5,1.941675789425702e-05,99068.26716967914,99066.3435851205
4200.0,1,0.0192753567769385,101325.0,99371.9244745767
4200.0,2,0.00301612050894485,99371.9244745767,99072.20677515562
4200.0,3,0.0005973181224821771,99072.20677515562,99013.02915061451
4200.0,4,0.00012144963238668189,99013.02915061451,99001.00405462268
4200.0,5,2.4818711417425863e-05,99001.00405462268,98998.54697727301
4300.0,1,0.01976068363459427,101325.0,99322.74873072474
4300.0,2,0.0032820080213899665,99322.74873072474,98996.770672684
4300.0,3,0.0006887463531620222,98996.770672684,98928.58700790837
4300.0,4,0.0001485866119187246,98928.58700790837,98913.88754434296
4300.0,5,3.223530490446519e-05,98913.88754434296,98910.69902501868
4400.0,1,0.01996156974698093,101325.0,99302.39394538716
4400.0,2,0.003469327783528958,99302.39394538716,98957.88139110149
